id,mass
1639,23
1640,25
1641,19
1642,23
1643,25
1644,16
1645,13
1646,19
1647,20
1648,14
1649,11
1650,19
1651,10
1652,12
1653,8
1654,8
1655,11
1656,8
1657,10
1658,6
1659,8
1660,11
1661,6
1662,6
1663,9
1664,7
1665,7
1666,6
1667,6
1668,6
1669,10
1670,6
1671,7
1672,8
1673,6
1674,6
1675,4
1676,6
1677,5
1678,4
1679,5
1680,4
1681,4
1682,5
1683,4
1684,4
1685,5
1686,4
1687,4
1688,4
1689,4
1690,4
1691,4
1692,3
1693,3
1694,3
1695,4
1696,3
1697,5
1698,4
1699,5
1700,4
1701,3
1702,3
1703,4
1704,3
1705,3
1706,3
1707,2
1708,4
1709,4
1710,4
1711,4
1712,3
1713,4
1714,2
1715,3
1716,2
1717,2
1718,2
1719,3
1720,3
1721,3
1722,3
1723,3
1724,32
1725,52
1726,1841
1727,640
1728,626
1729,353
1730,283
1731,164
1732,266
1733,137
1734,128
1735,65
1736,141
1737,134
1738,21
1739,9
1740,7
1741,5
1742,4
1743,6
1744,3
1745,2
1746,2
1747,2
1748,2
1749,2
1750,1
1751,2
1752,1
1753,1
1754,34
1755,34
1756,11
1757,9
1758,11
1759,9
1760,7
1761,15
1762,13
1763,11
1764,13
1765,6
1766,4
1767,6
1768,5
1769,5
1770,2
1771,3
1772,3
1773,2
1774,2
1775,1
1776,3
1777,7
1778,45
1779,24
1780,23
1781,15
1782,21
1783,11
1784,9
1785,11
1786,5
1787,9
1788,6
1789,5
1790,5
1791,5
1792,2
1793,4
1794,7
1795,24
1796,16
1797,12
1798,13
1799,14
1800,4
1801,4
1802,4
1803,4
1804,2
1805,3
1806,3
1807,1
1808,2
1809,2
1810,2
1811,2
1812,1
1813,1
1814,1
1815,1
1816,1
1817,1
1818,1
1819,3
1820,2050
1821,58
1822,46
1823,54
1824,17
1825,5
1826,25
1827,204
1828,53
1829,22
1830,4
1831,40
1832,16
1833,38
1834,19
1835,811
1836,62
1837,4
1838,11
1839,4
1840,2
1841,507
1842,549
1843,224
1844,46
1845,282
1846,3
1847,265
1848,15
1849,7
1850,28
1851,20
1852,31
1853,90
1854,106
1855,190
1856,11
1857,551
1858,5
1859,18
1860,2
1861,36
1862,108
1863,193
1864,8
1865,205
1866,159
1867,8
1868,55
1869,37
1870,41
1871,8
1872,24
1873,11
1874,11
1875,94
1876,10
1877,18
1878,3
1879,22
1880,19
1881,11
1882,5
1883,7
1884,142
1885,7
1886,7
1887,67
1888,14
1889,24
1890,215
1891,147
1892,1
1893,7
1894,2
1895,353
1896,74
1897,19
1898,4
1899,566
1900,14
1901,8
1902,6
1903,10
1904,32
1905,41
1906,5
1907,21
1908,45
1909,5
1910,7
1911,3
1912,10
1913,1252
1914,283
1915,131
1916,55
1917,42
1918,31
1919,17
1920,13
1921,13
1922,10
1923,10
1924,10
1925,5
1926,4
1927,2
1928,2
1929,89
1930,17
1931,6
1932,27
1933,3
1934,3
1935,2
1936,1
1937,1
1938,1
1939,6
1940,4
1941,1
1942,1
1943,0
1944,78
1945,28
1946,3
1947,3
1948,16
1949,839
1950,66
1951,419
1952,1907
1953,6
1954,2
1955,1
1956,2
1957,195
1958,77
1959,3
1960,2
1961,2
1962,1
1963,1
1964,1
1965,2
1966,1
1967,1
1968,129
1969,91
1970,102
1971,26
1972,62
1973,54
1974,205
1975,488
1976,84
1977,497
1978,68
1979,40
1980,11
1981,1
1982,24
1983,6
1984,134
1985,200
1986,3
1987,481
1988,191
1989,108
1990,115
1991,10
1992,3
1993,79
1994,220
1995,100
1996,71
1997,4
1998,21
1999,57
2000,1
2001,1
2002,6
2003,2
2004,148
2005,8
2006,9
2007,1
2008,2
2009,3
2010,5
2011,297
2012,113
2013,182
2014,56
2015,20
2016,19
2017,23
2018,15
2019,16
2020,16
2021,22
2022,18
2023,7
2024,9
2025,7
2026,2
2027,5
2028,128
2029,2240
2030,12
2031,535
2032,634
2033,334
2034,653
2035,112
2036,109
2037,64
2038,14
2039,9
2040,5
2041,4
2042,3
2043,135
2044,56
2045,13
2046,1
2047,3
2048,349
2049,8
2050,3
2051,49
2052,10
2053,2
2054,15
2055,10
2056,3
2057,114
2058,90
2059,50
2060,46
2061,20
2062,10
2063,0
2064,732
2065,335
2066,542
2067,13
2068,3
2069,50
2070,28
2071,10
2072,473
2073,259
2074,18
2075,285
2076,71
2077,124
2078,97
2079,33
2080,27
2081,19
2082,0
2083,3
2084,71
2085,352
2086,1
2087,1
2088,3
2089,1
2090,1
2091,26
2092,93
2093,172
2094,341
2095,56
2096,127
2097,174
2098,1607
2099,29
2100,14
2101,13
2102,193
2103,25320
2104,184
2105,171
2106,118
2107,4
2108,47
2109,5
2110,18
2111,48
2112,51
2113,35
2114,25
2115,26
2116,16
2117,20
2118,12
2119,15
2120,15
2121,14
2122,11
2123,17
2124,21
2125,18
2126,9
2127,6
2128,8
2129,2
2130,84
2131,24
2132,13
2133,14
2134,1
2135,156
2136,7
2137,4
2138,38
2139,111
2140,2540
2141,44
2142,6
2143,410
2144,18
2145,323
2146,44
2147,8830
2148,64
2149,37
2150,22
2151,3
2152,32
2153,46
2154,3
2155,53
2156,11
2157,8
2158,6
2159,4
2160,12
2161,28
2162,59
2163,11
2164,15
2165,12
2166,0
2167,40
2168,30
2169,4
2170,5
2171,3
2172,5
2173,1
2174,572
2175,662
2176,12
2177,23
2178,29
2179,115
2180,9
2181,841
2182,9
2183,16
2184,15
2185,106
2186,116
2187,11
2188,24
2189,4
2190,12
2191,6
2192,310
2193,7
2194,11
2195,8
2196,161
2197,1559
2198,35
2199,7
2200,3
2201,42
2202,14
2203,14
2204,5
2205,1
2206,1
