name,year,place,type,mass,coordinates,latitude,longitude
ksar ghilane 021,2020,"quibili, tunisia",h5,167 g,"32.891360, 9.912860",32.89136,9.91286
kumtag 064 **,2020,"xinjiang, china",l6,470 g,"41.432500, 93.493610",41.4325,93.49361
lahmada 048 **,2020,"saguia el hamra, western sahara",ureilite,59 g,"27.405770, -9.853630",27.40577,-9.85363
lahmada 049 **,2020,"saguia el hamra, western sahara",pallasite,1000 g,"27.400830, -9.048610",27.40083,-9.04861
los vientos 385 **,2020,"antofagasta, chile",ureilite,65 g,"-24.683330, -69.766670",-24.68333,-69.76667
los vientos 386 **,2020,"antofagasta, chile",eucrite,1946 g,"-24.683330, -69.766670",-24.68333,-69.76667
los vientos 433,2020,"antofagasta, chile",h5§,77 g,"-24.656970, -69.797890",-24.65697,-69.79789
los vientos 452,2020,"antofagasta, chile",h4,329 g,"-24.635330, -69.837890",-24.63533,-69.83789
los vientos 464 **,2020,"antofagasta, chile",h5,353 g,"-24.616720, -69.877640",-24.61672,-69.87764
los vientos 471,2020,"antofagasta, chile",h6§,100 g,"-24.702780, -69.988330",-24.70278,-69.98833
los vientos 472,2020,"antofagasta, chile",h6§,142 g,"-24.702220, -69.988060",-24.70222,-69.98806
los vientos 476,2020,"antofagasta, chile",l6§,474 g,"-24.683330, -69.766670",-24.68333,-69.76667
los vientos 477,2020,"antofagasta, chile",l6§,826 g,"-24.855000, -69.908330",-24.855,-69.90833
los vientos 555,2020,"antofagasta, chile",h6,715 g,"-24.563470, -69.840580",-24.56347,-69.84058
los vientos 556,2020,"antofagasta, chile",h5,36 g,"-24.667080, -69.755920",-24.66708,-69.75592
lut 019,2020,"kerman, iran",l6§,13 kg,"30.921280, 58.717410",30.92128,58.71741
madura cave **,2020,"western australia, australia",l5,1072 g,"-31.965570, 126.984380",-31.96557,126.98438
marsa alam 020,2020,"al bahr al ahmar, egypt",h5,285 g,"25.076330, 34.861000",25.07633,34.861
marsa alam 021,2020,"al bahr al ahmar, egypt",h5,9.8 g,"25.324670, 34.721500",25.32467,34.7215
marsa alam 022,2020,"al bahr al ahmar, egypt",h5,65.7 g,"25.321830, 34.726330",25.32183,34.72633
marsa alam 023,2020,"al bahr al ahmar, egypt",h5,7.7 g,"25.325000, 34.721170",25.325,34.72117
marsa alam 024,2020,"al bahr al ahmar, egypt",h5,8.3 g,"25.009000, 34.902500",25.009,34.9025
marsa alam 025,2020,"al bahr al ahmar, egypt",h5,34.5 g,"24.715500, 35.031170",24.7155,35.03117
marsa alam 026,2020,"al bahr al ahmar, egypt",h5,28.5 g,"24.924000, 34.925500",24.924,34.9255
marsa alam 027,2020,"al bahr al ahmar, egypt",h5,46 g,"24.924170, 34.926170",24.92417,34.92617
marsa alam 028,2020,"al bahr al ahmar, egypt",l6,21.7 g,"24.925670, 34.914170",24.92567,34.91417
marsa alam 029,2020,"al bahr al ahmar, egypt",l5,0.87 g,"25.127170, 34.833670",25.12717,34.83367
marsa alam 030,2020,"al bahr al ahmar, egypt",h5,325 g,"25.099830, 34.849330",25.09983,34.84933
marsa alam 031,2020,"al bahr al ahmar, egypt",h5,87 g,"24.709670, 35.024830",24.70967,35.02483
marsa alam 032 **,2020,"al bahr al ahmar, egypt",h6,8.8 g,"25.119620, 34.825740",25.11962,34.82574
marsa alam 033 **,2020,"al bahr al ahmar, egypt",h5,52 g,"24.927980, 34.931020",24.92798,34.93102
mdaouer 002 **,2020,morocco,l6-melt breccia,95 g,"29.845560, -6.929720",29.84556,-6.92972
monte costone **,2020,"lombardia, italy",h5,224 g,"45.776170, 9.721670",45.77617,9.72167
narashino **,2020,"kanto, japan",h5,350 g,"35.690560, 140.030830",35.69056,140.03083
niuquanhu 001 **,2020,"xinjiang, china",l5§,3.2 kg,"43.964530, 94.493660",43.96453,94.49366
northeast africa 009 **,2020,libya,martian (shergottite),245 g,,,
northeast africa 011 **,2020,libya,martian (shergottite),161.2 g,,,
northeast africa 013 **,2020,(northeast africa),diogenite,3.25 kg,,,
northeast africa 014 **,2020,libya,lunar (feldsp. breccia),1601 g,,,
northeast africa 015 **,2020,libya,martian (shergottite),610 g,,,
northeast africa 017 **,2020,libya,diogenite-pm,275 g,,,
northeast africa 018 **,2020,libya,ll3,748 g,,,
northeast africa 020 **,2020,libya,ll4-7,167 g,,,
northeast africa 021 **,2020,libya,ll3,99.7 g,,,
northeast africa 022 **,2020,libya,ll3,694 g,,,
northeast africa 023 **,2020,libya,ll7,486 g,,,
northeast africa 024 **,2020,libya,ll3,98.6 g,,,
northeast africa 026 **,2020,libya,co3,176 g,,,
northeast africa 028 **,2020,libya,co3,93 g,,,
northeast africa 033 **,2020,libya,l5,252 g,,,
northeast africa 034 **,2020,libya,ll3,253 g,,,
northwest africa 13202 **,2020,(northwest africa),chondrite-ung,396 g,,,
northwest africa 13203 **,2020,(northwest africa),l4,6.98 kg,,,
northwest africa 13236 **,2020,(northwest africa),ll6-melt breccia,708 g,,,
northwest africa 13267 **,2020,(northwest africa),l6-melt breccia,4.15 kg,,,
northwest africa 13297 **,2020,algeria,ll3,1973 g,,,
northwest africa 13298 **,2020,morocco,ll3,730 g,,,
northwest africa 13299 **,2020,algeria,eh3,299 g,,,
northwest africa 13302 **,2020,morocco,mesosiderite-a3,403 g,,,
northwest africa 13306 **,2020,(northwest africa),lunar (feldsp. breccia),1560 g,,,
northwest africa 13307 **,2020,(northwest africa),achondrite-ung,467 g,,,
northwest africa 13310 **,2020,(northwest africa),eucrite-br,441 g,,,
northwest africa 13314 **,2020,(northwest africa),eucrite-br,2.75 kg,,,
northwest africa 13323 **,2020,(northwest africa),ck3,3.96 kg,,,
northwest africa 13324 **,2020,(northwest africa),ll3.15,5 kg,,,
northwest africa 13327 **,2020,(northwest africa),martian (shergottite),346 g,,,
northwest africa 13328 **,2020,(northwest africa),ll4-5 melt breccia,650 g,,,
northwest africa 13329 **,2020,(northwest africa),co3,360 g,,,
northwest africa 13331 **,2020,(northwest africa),h7,563 g,,,
northwest africa 13336 **,2020,(northwest africa),cr2,290 g,,,
northwest africa 13344 **,2020,(northwest africa),eucrite,7.7 g,,,
northwest africa 13345 **,2020,(northwest africa),howardite,1245 g,,,
northwest africa 13346 **,2020,(northwest africa),lunar (feldsp. breccia),48.7 g,,,
northwest africa 13348 **,2020,(northwest africa),ch3,69 g,,,
northwest africa 13351 **,2020,(northwest africa),achondrite-ung,4.87 kg,,,
northwest africa 13353 **,2020,algeria,co3,222 g,,,
northwest africa 13354 **,2020,(northwest africa),lodranite,240 g,,,
northwest africa 13355 **,2020,(northwest africa),eucrite-an,672 g,,,
northwest africa 13357 **,2020,algeria,ck3-6,38.9 g,,,
northwest africa 13359 **,2020,(northwest africa),eucrite-pmict,96 g,,,
northwest africa 13360 **,2020,(northwest africa),martian (shergottite),187 g,,,
northwest africa 13362 **,2020,(northwest africa),martian (shergottite),4 g,,,
northwest africa 13363 **,2020,algeria,angrite,54 g,,,
northwest africa 13367 **,2020,algeria,martian (shergottite),249 g,,,
northwest africa 13368 **,2020,mauritania,martian (nakhlite),1105 g,,,
northwest africa 13369 **,2020,"adrar, algeria",martian (shergottite),24.7 g,,,
northwest africa 13370 **,2020,morocco,howardite,312 g,,,
northwest africa 13381 **,2020,(northwest africa),ck3,1335 g,,,
northwest africa 13391,2020,(northwest africa),ll5,374 g,,,
northwest africa 13392 **,2020,(northwest africa),ll5-6,393 g,,,
northwest africa 13393,2020,(northwest africa),l6,944 g,,,
northwest africa 13394 **,2020,(northwest africa),ll6-melt breccia,480 g,,,
northwest africa 13395 **,2020,(northwest africa),eucrite-mmict,736 g,,,
northwest africa 13401 **,2020,(northwest africa),martian (shergottite),67 g,,,
northwest africa 13412 **,2020,(northwest africa),cv3,6 g,,,
northwest africa 13413 **,2020,(northwest africa),howardite,242 g,,,
northwest africa 13414 **,2020,(northwest africa),l6-melt breccia,648 g,,,
northwest africa 13426 **,2020,(northwest africa),lunar,137.3 g,,,
northwest africa 13429 **,2020,(northwest africa),l7,2.02 kg,,,
northwest africa 13432 **,2020,(northwest africa),winonaite,4.46 kg,,,
northwest africa 13433 **,2020,mauritania,eucrite-unbr,24.7 kg,,,
northwest africa 13434 **,2020,(northwest africa),eucrite-melt breccia,123.7 g,,,
northwest africa 13435 **,2020,(northwest africa),diogenite,277 g,,,
northwest africa 13436 **,2020,(northwest africa),eucrite-pmict,345 g,,,
northwest africa 13437 **,2020,(northwest africa),cv3,133.8 g,,,
northwest africa 13438 **,2020,(northwest africa),co3,63.5 g,,,
northwest africa 13442 **,2020,(northwest africa),co3.0,127 g,,,
northwest africa 13443 **,2020,(northwest africa),co3.1,153 g,,,
northwest africa 13446 **,2020,algeria,achondrite-ung,6.48 kg,,,
northwest africa 13447 **,2020,(northwest africa),h3,269 g,,,
northwest africa 13450 **,2020,algeria,lunar (feldsp. breccia),629 g,,,
northwest africa 13457 **,2020,(northwest africa),eucrite,11.78 kg,,,
northwest africa 13461 **,2020,(northwest africa),ll5-6,1870 g,,,
northwest africa 13462 **,2020,(northwest africa),eucrite-melt breccia,277 g,,,
northwest africa 13467 **,2020,(northwest africa),martian (shergottite),80 g,,,
northwest africa 13468 **,2020,(northwest africa),r3-6,280 g,,,
northwest africa 13469 **,2020,(northwest africa),eucrite-melt breccia,27 g,,,
northwest africa 13470 **,2020,(northwest africa),eucrite,104 g,,,
northwest africa 13471 **,2020,(northwest africa),eucrite-melt breccia,100 g,,,
northwest africa 13474 **,2020,morocco,martian (shergottite),218 g,,,
