name,year,place,type,mass,coordinates,latitude,longitude
wad al fayda 001 **,2020,"rio de oro, western sahara",cr2,1463 g,"24.693920, -12.971170",24.69392,-12.97117
waw al kabir 001,2020,"murzuq, libya",l4,5.32 kg,"25.276940, 16.737780",25.27694,16.73778
willcox playa 012 **,2020,"arizona, usa",h5,17.8 g,"32.150280, -109.805280",32.15028,-109.80528
xizang **,2020,"xizang, china","iron, iab complex",68.66 kg,"33.130000, 87.075550",33.13,87.07555
yu wei liang 003,2020,"xinjiang, china",l6,800 g,"41.018970, 91.553240",41.01897,91.55324
zagora 002 **,2020,morocco,eucrite-br,105.3 g,"30.198890, -5.719140",30.19889,-5.71914
zagora 003 **,2020,morocco,eucrite,135 g,"30.347760, -5.611610",30.34776,-5.61161
zagora 004 **,2020,morocco,h6,194 g,"30.221200, -5.698690",30.2212,-5.69869
zagora 005 **,2020,morocco,cr2,4.8 g,"30.304660, -5.889900",30.30466,-5.8899
zhob **,2020,"baluchistan, pakistan",h3-4,18.96 kg,"31.366670, 69.566670",31.36667,69.56667
yc confirmed fall.,,,,,,,
yp probable fall.,,,,,,,
"np find, possible fall.",,,,,,,
§classified by magnetic susceptibility. classification subject to larger than normal uncertainty.,,,,,,,
†information deriving from metbull 114 or later is still subject to change by the meteorite nomenclature committee.,,,,,,,
** click on the meteorite's name to see the full initial description.,,,,,,,
,,,,,,,
synonyms,,,,,,,
" containing """"",,,,,,,
,,,,,,,
'ain sala is a synonym for suwahib ('ain sala) (added by jng),,,,,,,
90mul22 is a synonym for sleeper camp 012 (from metbase),,,,,,,
åarhus is a synonym for aarhus (from metbase),,,,,,,
abadla 001 is a synonym for abadla (first meteorite in dca),,,,,,,
abakan is a synonym for toubil river (in nhm cat),,,,,,,
abancay is a synonym for st. genevieve county (in nhm cat),,,,,,,
abbe is a synonym for abee (in nhm cat),,,,,,,
abdel malek is a synonym for nakhla (in nhm cat),,,,,,,
abel is a synonym for cranbourne (in nhm cat),,,,,,,
aberdeen is a synonym for bath (in nhm cat),,,,,,,
aberden is a synonym for bath (in nhm cat),,,,,,,
abert iron is a synonym for toluca (in nhm cat),,,,,,,
accalana is a synonym for carraweena (in nhm cat),,,,,,,
acunya is a synonym for acuña (from metbase),,,,,,,
adams county is a synonym for mount joy (in nhm cat),,,,,,,
adams diggings is a synonym for bluewater (in nhm cat),,,,,,,
adana is a synonym for ibrisim (in nhm cat),,,,,,,
adare is a synonym for limerick (in nhm cat),,,,,,,
adargas is a synonym for chupaderos (in nhm cat),,,,,,,
adelaide is a synonym for rhine villa (in nhm cat),,,,,,,
adhi-kot is a synonym for adhi kot (from metbase),,,,,,,
adon is a synonym for bendegó (in nhm cat),,,,,,,
adraj is a synonym for suwahib (adraj) (in nhm cat),,,,,,,
adrar is a synonym for chinguetti (in nhm cat),,,,,,,
adz bogdo is a synonym for adzhi-bogdo (iron) (from metbase),,,,,,,
adzhi-bogdo i is a synonym for adzhi-bogdo (stone) (in nhm cat),,,,,,,
adzhi-bogdo ii is a synonym for adzhi-bogdo (iron) (in nhm cat),,,,,,,
aeriotopos is a synonym for bear creek (in nhm cat),,,,,,,
agemour 001 is a synonym for aguemour 001 (from metbase),,,,,,,
agemour 002 is a synonym for aguemour 002 (from metbase),,,,,,,
agemour 003 is a synonym for aguemour 003 (from metbase),,,,,,,
agemour 004 is a synonym for aguemour 004 (from metbase),,,,,,,
agemour 005 is a synonym for aguemour 005 (from metbase),,,,,,,
agemour 006 is a synonym for aguemour 006 (from metbase),,,,,,,
agemour 007 is a synonym for aguemour 007 (from metbase),,,,,,,
agemour 008 is a synonym for aguemour 008 (from metbase),,,,,,,
agemour 009 is a synonym for aguemour 009 (from metbase),,,,,,,
agen is a synonym for barbotan (in nhm cat),,,,,,,
agen is a synonym for galapian (in nhm cat),,,,,,,
agpalilik is a synonym for cape york (in nhm cat),,,,,,,
agra is a synonym for kadonah (in nhm cat),,,,,,,
agra is a synonym for kheragur (in nhm cat),,,,,,,
agra is a synonym for nagaria (in nhm cat),,,,,,,
agram is a synonym for hraschina (in nhm cat),,,,,,,
agricultural academy is a synonym for agricultural college (in nhm cat),,,,,,,
agrigento is a synonym for girgenti (in nhm cat),,,,,,,
agua blanca is a synonym for charcas (in nhm cat),,,,,,,
ah 051 is a synonym for ah 012 (duplicate meteorite),,,,,,,
ahnighito is a synonym for cape york (in nhm cat),,,,,,,
aigla is a synonym for l'aigle (in nhm cat),,,,,,,
aigle is a synonym for l'aigle (in nhm cat),,,,,,,
aimi is a synonym for gifu (in nhm cat),,,,,,,
ain is a synonym for luponnas (in nhm cat),,,,,,,
ain is a synonym for simonod (in nhm cat),,,,,,,
ain sala is a synonym for suwahib ('ain sala) (in nhm cat),,,,,,,
ainsa iron is a synonym for tucson (in nhm cat),,,,,,,
aj bogd is a synonym for adzhi-bogdo (iron) (from metbase),,,,,,,
akbarpoor is a synonym for akbarpur (in nhm cat),,,,,,,
akebulake is a synonym for aletai (action of 27 nov 2016),,,,,,,
akershuus is a synonym for ski (in nhm cat),,,,,,,
akhicha is a synonym for akhricha (in nhm cat),,,,,,,
akpohon is a synonym for cape york (in nhm cat),,,,,,,
akron no. 3 is a synonym for akron (1961) (in nhm cat),,,,,,,
aksai chin 001 is a synonym for aksai chin (first meteorite in new dca),,,,,,,
al huqf 051 is a synonym for al huqf 012 (duplicate meteorite),,,,,,,
al huwaysah 033 is a synonym for ramlat ar rabbab 001 (original incorrect name),,,,,,,
al kidairat is a synonym for kidairat (from metbase),,,,,,,
al kidirate is a synonym for kidairat (from metbase),,,,,,,
al qaryah ash sharqiyah is a synonym for northeast africa 003 (met bull 90),,,,,,,
al-hadida is a synonym for wabar (in nhm cat),,,,,,,
alabama is a synonym for walker county (from metbase),,,,,,,
alabama is a synonym for lime creek (in nhm cat),,,,,,,
alabama is a synonym for carver (in nhm cat),,,,,,,
alandroal is a synonym for juromenha (in nhm cat),,,,,,,
alastoeva is a synonym for djati-pengilon (in nhm cat),,,,,,,
alastoewa is a synonym for djati-pengilon (in nhm cat),,,,,,,
alatyr is a synonym for novo-urei (in nhm cat),,,,,,,
alba julia is a synonym for ohaba (in nhm cat),,,,,,,
albacher mühle is a synonym for bitburg (in nhm cat),,,,,,,
albany county is a synonym for bethlehem (in nhm cat),,,,,,,
albarello is a synonym for albareto (in nhm cat),,,,,,,
albert iron is a synonym for toluca (in nhm cat),,,,,,,
alboreto is a synonym for albareto (in nhm cat),,,,,,,
alboretto is a synonym for albareto (in nhm cat),,,,,,,
albuquerque is a synonym for canyon diablo (in nhm cat),,,,,,,
albuquerque is a synonym for glorieta mountain (from metbase),,,,,,,
alby-sur-chéran is a synonym for alby sur chéran (french spelling),,,,,,,
aldama is a synonym for aldama (a) (from metbase),,,,,,,
aleksandrovskii is a synonym for alexandrovsky (in nhm cat),,,,,,,
aleksandrovskii khutor is a synonym for alexandrovsky (in nhm cat),,,,,,,
alekseevka is a synonym for bachmut (in nhm cat),,,,,,,
aleksinac is a synonym for soko-banja (in nhm cat),,,,,,,
alexander is a synonym for gibeon (in nhm cat),,,,,,,
alexandria is a synonym for alessandria (in nhm cat),,,,,,,
alexandrovskii khutor is a synonym for alexandrovsky (in nhm cat),,,,,,,
alexandrovsky khutor is a synonym for alexandrovsky (in nhm cat),,,,,,,
alexandrowskij chutor is a synonym for alexandrovsky (in nhm cat),,,,,,,
alexejevka is a synonym for bachmut (in nhm cat),,,,,,,
alexinatz is a synonym for soko-banja (in nhm cat),,,,,,,
alfenas is a synonym for patrimonio (in nhm cat),,,,,,,
alha761 is a synonym for allan hills a76001 (added by jng 2/23/06),,,,,,,
alha762 is a synonym for allan hills a76002 (added by jng 2/23/06),,,,,,,
alha763 is a synonym for allan hills a76003 (added by jng 2/23/06),,,,,,,
alha764 is a synonym for allan hills a76004 (added by jng 2/23/06),,,,,,,
alha765 is a synonym for allan hills a76005 (added by jng 2/23/06),,,,,,,
alha766 is a synonym for allan hills a76006 (added by jng 2/23/06),,,,,,,
alha767 is a synonym for allan hills a76007 (added by jng 2/23/06),,,,,,,
alha768 is a synonym for allan hills a76008 (added by jng 2/23/06),,,,,,,
alha769 is a synonym for allan hills a76009 (added by jng 2/23/06),,,,,,,
alice springs is a synonym for huckitta (in nhm cat),,,,,,,
allahabad is a synonym for futtehpur (in nhm cat),,,,,,,
allahabad is a synonym for chail (in nhm cat),,,,,,,
allais is a synonym for alais (in nhm cat),,,,,,,
allan hills 090004 is a synonym for allan hills 09004 (renamed in amn 34(1)),,,,,,,
allan hills no. 1 is a synonym for allan hills a76001 (added by jng 2/23/06),,,,,,,
allan hills no. 2 is a synonym for allan hills a76002 (added by jng 2/23/06),,,,,,,
allan hills no. 3 is a synonym for allan hills a76003 (added by jng 2/23/06),,,,,,,
allan hills no. 4 is a synonym for allan hills a76004 (added by jng 2/23/06),,,,,,,
allan hills no. 5 is a synonym for allan hills a76005 (added by jng 2/23/06),,,,,,,
allan hills no. 6 is a synonym for allan hills a76006 (added by jng 2/23/06),,,,,,,
allan hills no. 7 is a synonym for allan hills a76007 (added by jng 2/23/06),,,,,,,
allan hills no. 8 is a synonym for allan hills a76008 (added by jng 2/23/06),,,,,,,
allan hills no. 9 is a synonym for allan hills a76009 (added by jng 2/23/06),,,,,,,
allan nunatak no. 1 is a synonym for allan hills a76001 (added by jng 2/23/06),,,,,,,
allan nunatak no. 2 is a synonym for allan hills a76002 (added by jng 2/23/06),,,,,,,
allan nunatak no. 3 is a synonym for allan hills a76003 (added by jng 2/23/06),,,,,,,
allan nunatak no. 4 is a synonym for allan hills a76004 (added by jng 2/23/06),,,,,,,
allan nunatak no. 5 is a synonym for allan hills a76005 (added by jng 2/23/06),,,,,,,
allan nunatak no. 6 is a synonym for allan hills a76006 (added by jng 2/23/06),,,,,,,
allan nunatak no. 7 is a synonym for allan hills a76007 (added by jng 2/23/06),,,,,,,
allan nunatak no. 8 is a synonym for allan hills a76008 (added by jng 2/23/06),,,,,,,
allan nunatak no. 9 is a synonym for allan hills a76009 (added by jng 2/23/06),,,,,,,
alleghany mountains is a synonym for greenbrier county (in nhm cat),,,,,,,
allegheny county is a synonym for pittsburg (in nhm cat),,,,,,,
allen county is a synonym for scottsville (in nhm cat),,,,,,,
allessandria is a synonym for alessandria (in nhm cat),,,,,,,
alpine is a synonym for chico mountains (in nhm cat),,,,,,,
alt biela is a synonym for alt bela (in nhm cat),,,,,,,
alta is a synonym for finmarken (in nhm cat),,,,,,,
alta ameem is a synonym for alta'ameem (from metbase),,,,,,,
altai is a synonym for barnaul (in nhm cat),,,,,,,
altai is a synonym for demina (in nhm cat),,,,,,,
alte is a synonym for finmarken (in nhm cat),,,,,,,
alten is a synonym for finmarken (in nhm cat),,,,,,,
alton is a synonym for covert (in nhm cat),,,,,,,
altona is a synonym for altonah (in nhm cat),,,,,,,
alva is a synonym for woodward county (in nhm cat),,,,,,,
alzhi-bogdo is a synonym for adzhi-bogdo (stone) (in nhm cat),,,,,,,
amakaken is a synonym for caperr (in nhm cat),,,,,,,
amalia farm is a synonym for gibeon (in nhm cat),,,,,,,
amana is a synonym for homestead (in nhm cat),,,,,,,
amates is a synonym for toluca (in nhm cat),,,,,,,
amba madapur is a synonym for ambapur nagla (in nhm cat),,,,,,,
ambala is a synonym for umbala (in nhm cat),,,,,,,
amgala is a synonym for oum dreyga (mb89),,,,,,,
amun is a synonym for thebes (in nhm cat),,,,,,,
anderson is a synonym for brenham (in nhm cat),,,,,,,
andrioniskis is a synonym for padvarninkai (in nhm cat),,,,,,,
andriushki is a synonym for andryushki (in nhm cat),,,,,,,
andrjuschki is a synonym for andryushki (in nhm cat),,,,,,,
andronishkis is a synonym for padvarninkai (in nhm cat),,,,,,,
andronishkyai is a synonym for padvarninkai (in nhm cat),,,,,,,
angara is a synonym for ssyromolotovo (in nhm cat),,,,,,,
angela is a synonym for la primitiva (in nhm cat),,,,,,,
angra dos reis (iron) is a synonym for pirapora (in nhm cat),,,,,,,
anighito is a synonym for cape york (in nhm cat),,,,,,,
anjela is a synonym for la primitiva (in nhm cat),,,,,,,
anlung is a synonym for anlong (in nhm cat),,,,,,,
annapolis is a synonym for nanjemoy (in nhm cat),,,,,,,
antarctic is a synonym for adelie land (in nhm cat),,,,,,,
anticoli corradi is a synonym for orvinio (in nhm cat),,,,,,,
antifona is a synonym for collescipoli (in nhm cat),,,,,,,
antofagasta is a synonym for mantos blancos (in nhm cat),,,,,,,
antofagasta is a synonym for imilac (in nhm cat),,,,,,,
antofagasta is a synonym for san cristobal (in nhm cat),,,,,,,
apollonia is a synonym for santa apolonia (in nhm cat),,,,,,,
aprelskij is a synonym for aprel'sky (in nhm cat),,,,,,,
aragon is a synonym for cedartown (in nhm cat),,,,,,,
arch (b) is a synonym for blackwater draw (in nhm cat),,,,,,,
arenazzo is a synonym for renazzo (in nhm cat),,,,,,,
arhus is a synonym for aarhus (from metbase),,,,,,,
århus is a synonym for aarhus (in nhm cat),,,,,,,
aricarie is a synonym for washington county (in nhm cat),,,,,,,
arickaree is a synonym for washington county (in nhm cat),,,,,,,
arickarie is a synonym for washington county (in nhm cat),,,,,,,
arizona is a synonym for tucson (in nhm cat),,,,,,,
arizona is a synonym for canyon diablo (in nhm cat),,,,,,,
arizpe is a synonym for arispe (in nhm cat),,,,,,,
arltunga is a synonym for cranbourne (in nhm cat),,,,,,,
aroos is a synonym for yardymly (in nhm cat),,,,,,,
arva is a synonym for magura (in nhm cat),,,,,,,
ash-shalfar is a synonym for ash-shalfah (in nhm cat),,,,,,,
ashburton downs is a synonym for dalgety downs (in nhm cat),,,,,,,
asheville is a synonym for duel hill (1854) (in nhm cat),,,,,,,
asheville is a synonym for black mountain (in nhm cat),,,,,,,
assaquia al hamra 001 is a synonym for assaquia al hamra (first meteorite in dca),,,,,,,
asuka 15 is a synonym for asuka 881467 (from metbase),,,,,,,
asuka 9 is a synonym for asuka 881371 (from metbase),,,,,,,
asuka-15 is a synonym for asuka 881467 (from metbase),,,,,,,
asuka-31 is a synonym for asuka 881757 (in nhm cat),,,,,,,
asuka-9 is a synonym for asuka 881371 (from metbase),,,,,,,
aswam is a synonym for aswan (in nhm cat),,,,,,,
atacama is a synonym for cachiyuyal (in nhm cat),,,,,,,
atacama is a synonym for dehesa (in nhm cat),,,,,,,
atacama is a synonym for imilac (in nhm cat),,,,,,,
atacama desert is a synonym for ilimaes (iron) (in nhm cat),,,,,,,
atacama desert is a synonym for joel's iron (in nhm cat),,,,,,,
atacama desert is a synonym for copiapo (in nhm cat),,,,,,,
atacama desert is a synonym for slaghek's iron (in nhm cat),,,,,,,
atacama desert is a synonym for lutschaunig's stone (in nhm cat),,,,,,,
atobe is a synonym for gifu (in nhm cat),,,,,,,
atwood (a) is a synonym for atwood (in nhm cat),,,,,,,
aucamville is a synonym for toulouse (in nhm cat),,,,,,,
augusta is a synonym for castine (in nhm cat),,,,,,,
augusta county is a synonym for staunton (in nhm cat),,,,,,,
augustinowka is a synonym for augustinovka (in nhm cat),,,,,,,
aukoma is a synonym for pillistfer (in nhm cat),,,,,,,
aumières is a synonym for aumieres (french spelling),,,,,,,
aussen is a synonym for ausson (in nhm cat),,,,,,,
aussun is a synonym for ausson (in nhm cat),,,,,,,
austin is a synonym for wichita county (from metbase),,,,,,,
austin is a synonym for denton county (in nhm cat),,,,,,,
australia i is a synonym for hughes 026 (in nhm cat; metbase says reid 013 - prob wrong),,,,,,,
australia ii is a synonym for reid 016 (in nhm cat),,,,,,,
authon is a synonym for lancé (in nhm cat),,,,,,,
avec is a synonym for avce (in nhm cat),,,,,,,
avgustinovka is a synonym for augustinovka (in nhm cat),,,,,,,
avoca is a synonym for tulia (a) (in nhm cat),,,,,,,
avse is a synonym for avce (in nhm cat),,,,,,,
awsserd 001 is a synonym for awsserd (first meteorite in dca),,,,,,,
aydar 001 is a synonym for aydar (first entry in new dca),,,,,,,
aztec is a synonym for holbrook (in nhm cat),,,,,,,
aztek is a synonym for aztec (in nhm cat),,,,,,,
babb's mill is a synonym for babb's mill (blake's iron) (in nhm cat),,,,,,,
babb's mill is a synonym for babb's mill (troost's iron) (in nhm cat),,,,,,,
badger is a synonym for sacramento mountains (in nhm cat),,,,,,,
baffin's bay is a synonym for cape york (in nhm cat),,,,,,,
bahia is a synonym for bendegó (in nhm cat),,,,,,,
baird's farm is a synonym for asheville (in nhm cat),,,,,,,
baird's plantation is a synonym for asheville (in nhm cat),,,,,,,
bakhmut is a synonym for bachmut (in nhm cat),,,,,,,
baldohn is a synonym for misshof (in nhm cat),,,,,,,
balin is a synonym for palinshih (in nhm cat),,,,,,,
ballinee is a synonym for ballinoo (in nhm cat),,,,,,,
ballinos is a synonym for ballinoo (in nhm cat),,,,,,,
ballua is a synonym for butsura (in nhm cat),,,,,,,
balneario el condor is a synonym for viedma (mb89),,,,,,,
bambuk is a synonym for siratik (in nhm cat),,,,,,,
bancoorah is a synonym for shalka (in nhm cat),,,,,,,
bandera county is a synonym for pipe creek (in nhm cat),,,,,,,
bandhya is a synonym for duketon (in nhm cat),,,,,,,
bandya is a synonym for duketon (in nhm cat),,,,,,,
banja is a synonym for soko-banja (in nhm cat),,,,,,,
banjaca is a synonym for jelica (in nhm cat),,,,,,,
bankura is a synonym for shalka (in nhm cat),,,,,,,
baratta is a synonym for barratta (in nhm cat),,,,,,,
barber county is a synonym for nashville (stone) (in nhm cat),,,,,,,
barcelona is a synonym for nulles (in nhm cat),,,,,,,
barcelona is a synonym for cañellas (in nhm cat),,,,,,,
bardaï 001 is a synonym for bardaï (first meteorite in new dca),,,,,,,
bardsley is a synonym for beardsley (in nhm cat),,,,,,,
bare is a synonym for mocs (in nhm cat),,,,,,,
barraba is a synonym for bingera (in nhm cat),,,,,,,
barranca bjanca is a synonym for barranca blanca (in nhm cat),,,,,,,
barringer is a synonym for canyon diablo (in nhm cat),,,,,,,
bartlet is a synonym for bartlett (in nhm cat),,,,,,,
bartlett meteorite is a synonym for tucson (in nhm cat),,,,,,,
basedow range is a synonym for henbury (in nhm cat),,,,,,,
bassein is a synonym for quenggouk (in nhm cat),,,,,,,
basti is a synonym for lahrauli (in nhm cat),,,,,,,
basti is a synonym for bustee (in nhm cat),,,,,,,
bates county is a synonym for butler (in nhm cat),,,,,,,
batesville is a synonym for joe wright mountain (in nhm cat),,,,,,,
bathurst is a synonym for cowra (in nhm cat),,,,,,,
batsura is a synonym for butsura (in nhm cat),,,,,,,
battle river is a synonym for iron creek (in nhm cat),,,,,,,
batujajar is a synonym for glanggang (from metbase),,,,,,,
bazar is a synonym for butsura (in nhm cat),,,,,,,
beaconsfield is a synonym for cranbourne (in nhm cat),,,,,,,
bear river is a synonym for bear creek (in nhm cat),,,,,,,
beaufort is a synonym for orange river (stone) (in nhm cat),,,,,,,
beaugency is a synonym for charsonville (in nhm cat),,,,,,,
bécasse is a synonym for la bécasse (in nhm cat),,,,,,,
behar is a synonym for shergotty (in nhm cat),,,,,,,
beirut is a synonym for beyrout (in nhm cat),,,,,,,
belaia tserkov is a synonym for bjelaja zerkov (in nhm cat),,,,,,,
belaja zerkov is a synonym for bjelaja zerkov (in nhm cat),,,,,,,
belaja zerkow is a synonym for bjelaja zerkov (in nhm cat),,,,,,,
belaja-zerkov is a synonym for bjelaja zerkov (in nhm cat),,,,,,,
belaya gora is a synonym for saratov (in nhm cat),,,,,,,
belfast is a synonym for bovedy (in nhm cat),,,,,,,
belgorod is a synonym for sevrukovo (in nhm cat),,,,,,,
belgradjek is a synonym for virba (in nhm cat),,,,,,,
belley is a synonym for groslée (in nhm cat),,,,,,,
belmont is a synonym for simonod (in nhm cat),,,,,,,
belokrinice is a synonym for bielokrynitschie (in nhm cat),,,,,,,
belokrinich'e is a synonym for bielokrynitschie (in nhm cat),,,,,,,
belokrinitschje is a synonym for bielokrynitschie (in nhm cat),,,,,,,
belostok is a synonym for bialystok (in nhm cat),,,,,,,
bemdego is a synonym for bendegó (in nhm cat),,,,,,,
benares is a synonym for benares (a) (from metbase),,,,,,,
bendengo is a synonym for bendegó (from metbase),,,,,,,
bendengó is a synonym for bendegó (in nhm cat),,,,,,,
bendigo is a synonym for bendegó (in nhm cat),,,,,,,
bendoc is a synonym for bendock (in nhm cat),,,,,,,
benego is a synonym for bendegó (from metbase),,,,,,,
benegó is a synonym for bendegó (in nhm cat),,,,,,,
beni yacoub is a synonym for izarzar (in description of meteorite),,,,,,,
berar is a synonym for chandakapur (in nhm cat),,,,,,,
beraun is a synonym for zebrak (in nhm cat),,,,,,,
berdiansk is a synonym for berdyansk (in nhm cat),,,,,,,
berdjansk is a synonym for berdyansk (in nhm cat),,,,,,,
berdjansk is a synonym for pavlograd (in nhm cat),,,,,,,
berg emir is a synonym for krasnojarsk (in nhm cat),,,,,,,
berrias is a synonym for aumieres (in nhm cat),,,,,,,
beshkalai is a synonym for samelia (in nhm cat),,,,,,,
beshkalia is a synonym for samelia (from metbase),,,,,,,
beshki is a synonym for samelia (in nhm cat),,,,,,,
besouros is a synonym for bezerros (in nhm cat),,,,,,,
bethany is a synonym for gibeon (in nhm cat),,,,,,,
bethel is a synonym for bethel (a) (in nhm cat),,,,,,,
bétréchies is a synonym for hainaut (in nhm cat),,,,,,,
bettona is a synonym for assisi (in nhm cat),,,,,,,
bettrechies is a synonym for hainaut (in nhm cat),,,,,,,
beverbruch is a synonym for oldenburg (1930) (in nhm cat),,,,,,,
beverbrück is a synonym for oldenburg (1930) (in nhm cat),,,,,,,
bewitched burgrave is a synonym for elbogen (in nhm cat),,,,,,,
bhawalpur is a synonym for khairpur (in nhm cat),,,,,,,
bholgati is a synonym for bholghati (in nhm cat),,,,,,,
bhur-gheluai is a synonym for bur-gheluai (in nhm cat),,,,,,,
bhurtpur is a synonym for kheragur (in nhm cat),,,,,,,
bhurtpur is a synonym for moti-ka-nagla (in nhm cat),,,,,,,
bialacerkiew is a synonym for bjelaja zerkov (in nhm cat),,,,,,,
bibandi is a synonym for dokachi (in nhm cat),,,,,,,
bielostok is a synonym for bialystok (in nhm cat),,,,,,,
bierbele is a synonym for bjurböle (in nhm cat),,,,,,,
big skookum is a synonym for skookum (in nhm cat),,,,,,,
billygoat donga iii is a synonym for mulga (south) (in nhm cat),,,,,,,
bingara is a synonym for bingera (in nhm cat),,,,,,,
bingol is a synonym for saricicek (met bull 105),,,,,,,
binola is a synonym for binda (typo in wiechert et al. (2004) epsl 221 373-382),,,,,,,
bir moghrein 001 is a synonym for bir moghrein (first meteorite in dca),,,,,,,
bir rebaa 001 is a synonym for bir rebaa (first meteorite in collection area),,,,,,,
birüssa is a synonym for veliko-nikolaevsky priisk (in nhm cat),,,,,,,
biryusa is a synonym for veliko-nikolaevsky priisk (in nhm cat),,,,,,,
bischopville is a synonym for bishopville (in nhm cat),,,,,,,
bischtuebe is a synonym for bischtübe (in nhm cat),,,,,,,
bishtiube is a synonym for bischtübe (in nhm cat),,,,,,,
bissempore is a synonym for shalka (in nhm cat),,,,,,,
bistjube is a synonym for bischtübe (in nhm cat),,,,,,,
bithur is a synonym for futtehpur (in nhm cat),,,,,,,
bitsburg is a synonym for bitburg (in nhm cat),,,,,,,
bjelaja-zerkov is a synonym for bjelaja zerkov (from metbase),,,,,,,
bjelokrynitschie is a synonym for bielokrynitschie (in nhm cat),,,,,,,
bjorböle is a synonym for bjurböle (in nhm cat),,,,,,,
bjurboele is a synonym for bjurböle (in nhm cat),,,,,,,
blaauw-kapel is a synonym for utrecht (in nhm cat),,,,,,,
black moshannon park is a synonym for black moshannan park (in nhm cat),,,,,,,
blake's iron is a synonym for babb's mill (blake's iron) (in nhm cat),,,,,,,
blendija is a synonym for soko-banja (in nhm cat),,,,,,,
bloody basin is a synonym for canyon diablo (in nhm cat),,,,,,,
blount county is a synonym for summit (in nhm cat),,,,,,,
bluebush ridge is a synonym for hughes 030 (in nhm cat),,,,,,,
bluff is a synonym for bluff (a) (from metbase),,,,,,,
boaz is a synonym for boaz (stone) (from metbase),,,,,,,
boaz (iron) is a synonym for hope (in nhm cat),,,,,,,
bobrik is a synonym for kharkov (in nhm cat),,,,,,,
bochechki is a synonym for botschetschki (in nhm cat),,,,,,,
boelus is a synonym for arcadia (in nhm cat),,,,,,,
boenpalli is a synonym for alwal (in nhm cat),,,,,,,
bogota is a synonym for santa rosa (in nhm cat),,,,,,,
boguslawka is a synonym for boguslavka (in nhm cat),,,,,,,
bohumilice is a synonym for bohumilitz (in nhm cat),,,,,,,
bois de fontaine is a synonym for charsonville (in nhm cat),,,,,,,
boise city is a synonym for keyes (in nhm cat),,,,,,,
boisfontaine is a synonym for charsonville (in nhm cat),,,,,,,
bokkeveld is a synonym for cold bokkeveld (in nhm cat),,,,,,,
bolshaja korta is a synonym for bolshaya korta (in nhm cat),,,,,,,
bolson de mapimi is a synonym for coahuila (in nhm cat),,,,,,,
bomba is a synonym for vaca muerta (in nhm cat),,,,,,,
bonanza iron is a synonym for coahuila (in nhm cat),,,,,,,
bond springs is a synonym for mount sir charles (in nhm cat),,,,,,,
bondoc peninsula is a synonym for bondoc (in nhm cat),,,,,,,
borcut is a synonym for borkut (in nhm cat),,,,,,,
bordeaux is a synonym for barbotan (in nhm cat),,,,,,,
borgo san donnino is a synonym for borgo san donino (in nhm cat),,,,,,,
borordino is a synonym for borodino (in nhm cat),,,,,,,
borovaya is a synonym for angara (in nhm cat),,,,,,,
borowaja is a synonym for angara (in nhm cat),,,,,,,
bosna is a synonym for ozren (in nhm cat),,,,,,,
bosnia is a synonym for ozren (in nhm cat),,,,,,,
bottcher island is a synonym for mauritius (from metbase),,,,,,,
bôttcher island is a synonym for mauritius (in nhm cat),,,,,,,
bouanane 005 is a synonym for northwest africa 034 (from metbase),,,,,,,
boulia is a synonym for glenormiston (in nhm cat),,,,,,,
bourbon-vendée is a synonym for chantonnay (in nhm cat),,,,,,,
bourbon-vendée is a synonym for st. christophe-la-chartreuse (in nhm cat),,,,,,,
bourdeaux is a synonym for mornans (in nhm cat),,,,,,,
boutel fil (a) is a synonym for boutel fil (assigned on discovery of (b)),,,,,,,
bouvante-le-haut is a synonym for bouvante (in nhm cat),,,,,,,
bowesmont (a) is a synonym for bowesmont (in nhm cat),,,,,,,
boxian is a synonym for bo xian (from metbase),,,,,,,
boyett is a synonym for cross roads (in nhm cat),,,,,,,
bradley county is a synonym for cleveland (in nhm cat),,,,,,,
bragin is a synonym for brahin (in nhm cat),,,,,,,
brambanan is a synonym for prambanan (in nhm cat),,,,,,,
bramudor is a synonym for tomatlan (in nhm cat),,,,,,,
brandenburg is a synonym for seeläsgen (in nhm cat),,,,,,,
brandenburg is a synonym for linum (in nhm cat),,,,,,,
branibor is a synonym for seeläsgen (in nhm cat),,,,,,,
brasil is a synonym for minas gerais (in nhm cat),,,,,,,
brasky is a synonym for limerick (in nhm cat),,,,,,,
brazos is a synonym for red river (in nhm cat),,,,,,,
brazos is a synonym for wichita county (in nhm cat),,,,,,,
brazos river is a synonym for wichita county (in nhm cat),,,,,,,
brazzaville is a synonym for massenya (in nhm cat),,,,,,,
breece is a synonym for grant (in nhm cat),,,,,,,
breitenbach is a synonym for steinbach (in nhm cat),,,,,,,
brescia is a synonym for trenzano (in nhm cat),,,,,,,
brescia is a synonym for alfianello (in nhm cat),,,,,,,
bridgewater station is a synonym for bridgewater (in nhm cat),,,,,,,
briscoe county is a synonym for briscoe (in nhm cat),,,,,,,
brookville is a synonym for rushville (in nhm cat),,,,,,,
broumov is a synonym for braunau (in nhm cat),,,,,,,
brownfield (1966) is a synonym for brownfield (iron) (in nhm cat),,,,,,,
brownfield (b) is a synonym for brownfield (1964) (in nhm cat),,,,,,,
brownfield no. 2 is a synonym for brownfield (1964) (in nhm cat),,,,,,,
bruce is a synonym for cranbourne (in nhm cat),,,,,,,
