Name,Abbrev,Status,Fall,Year,Place,Type,Mass,MetBull,Antarctic,"(Lat,Long)",,
Gorlovka **,,Official,Y,1974,"Donetsk, Ukraine",H3.7,3.62 kg,54,,"(48.283330, 38.083330)  ",,
Hickiwan **,,Official,,1974,"Arizona, USA",H5,1928 g,55,,"(32.358330, -112.408890)  ",,
Jolomba **,,Official,Y,1974,"Huambo, Angola",LL6,483 g,80,,"(-11.850000, 15.833330)  ",,
Maralinga **,,Official,,1974,"South Australia, Australia",CK4-an,3.39 kg,75,,"(-30.300000, 131.266670)  ",,
Mayo Belwa **,,Official,Y,1974,"Adamawa, Nigeria",Aubrite,4.85 kg,55,,"(8.966670, 12.083330)  ",,
Naragh **,,Official,Y,1974,"Esfahan, Iran",H6,2.7 kg,53,,"(33.750000, 51.500000)  ",,
Orimattila **,,Official,,1974,"Uusimaa, Finland",H4,1872 g,53,,"(60.583330, 25.583330)  ",,
Rabbit Flat **,,Official,,1974,"Northern Territory, Australia",H6,295 g,55,,"(-20.366670, 130.116670)  ",,
Reid 002,,Official,,1974,"Western Australia, Australia",L6,66.5 g,68,,"(-30.066670, 128.966670)  ",,
Reid 003,,Official,,1974,"Western Australia, Australia",L5,128.7 g,68,,"(-30.066670, 128.966670)  ",,
Rogers,,Official,,1974,"New Mexico, USA",L,982 g,,,"(34.065000, -103.408330)  ",,
Roosevelt County 086,RC 086,Official,,1974,"New Mexico, USA",L6,9 g,78,,"(34.283330, -103.283330)  ",,
Saint Augustine **,,Official,,1974,"Illinois, USA","Iron, IID",22 kg,85,,"(40.716670, -90.416670)  ",,
Stratford **,,Official,Y,1974,"Connecticut, USA",L6,50 g,53,,"(41.200000, -73.133330)  ",,
Thackaringa **,,Official,,1974,"New South Wales, Australia",H5,439 g,59,,"(-32.116670, 141.083330)  ",,
Tokio (a),,Official,,1974,"Texas, USA",H5,6.6 kg,,,"(33.216670, -102.631670)  ",,
Tokio (b),,Official,,1974,"Texas, USA",OC,823 g,83,,"(33.205000, -102.658330)  ",,
Villanueva **,,Official,,1974,"New Mexico, USA",H6,2.28 kg,109,,"(35.238000, -105.332000)  ",,
Wadi El Gamal **,,Official,,1974,Egypt,"Iron, IIIAB",98 g,108,,,,
Yamato 74001,Y-74001,Official,,1974,Antarctica,H5,246 g,,J2(1) NIPR,"(-71.836110, 36.272220)  ",,
Yamato 74002,Y-74002,Official,,1974,Antarctica,LL4,69.7 g,,J2(1) NIPR,"(-71.825560, 36.255560)  ",,
Yamato 74003,Y-74003,Official,,1974,Antarctica,L6,15.5 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74004,Y-74004,Official,,1974,Antarctica,H5,8.1 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74005,Y-74005,Official,,1974,Antarctica,Diogenite,3.7 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74006,Y-74006,Official,,1974,Antarctica,H6,35.8 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74007,Y-74007,Official,,1974,Antarctica,L6,162.3 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74008,Y-74008,Official,,1974,Antarctica,H,14.3 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74009,Y-74009,Official,,1974,Antarctica,L5,9 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74010,Y-74010,Official,,1974,Antarctica,Diogenite,299 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74011,Y-74011,Official,,1974,Antarctica,Diogenite,206 g,,J2(1) NIPR,"(-71.832780, 36.291670)  ",,
Yamato 74012,Y-74012,Official,,1974,Antarctica,H5,75.4 g,,J2(1) NIPR,"(-71.836670, 36.298610)  ",,
Yamato 74013,Y-74013,Official,,1974,Antarctica,Diogenite,2.06 kg,,J2(1) NIPR,"(-71.836670, 36.304170)  ",,
Yamato 74014,Y-74014,Official,,1974,Antarctica,H6,2.37 kg,,J2(1) NIPR,"(-71.835560, 36.302780)  ",,
Yamato 74015,Y-74015,Official,,1974,Antarctica,L6,88 g,,J2(1) NIPR,"(-71.803890, 36.234720)  ",,
Yamato 74016,Y-74016,Official,,1974,Antarctica,H6,11.5 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74017,Y-74017,Official,,1974,Antarctica,H6,3.23 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74018,Y-74018,Official,,1974,Antarctica,LL6,5.3 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74019,Y-74019,Official,,1974,Antarctica,H4,6 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74020,Y-74020,Official,,1974,Antarctica,L5,0.56 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74021,Y-74021,Official,,1974,Antarctica,H5,39.3 g,,J2(1) NIPR,"(-71.793890, 36.181940)  ",,
Yamato 74022,Y-74022,Official,,1974,Antarctica,LL5,34.7 g,,J2(1) NIPR,"(-71.848610, 36.318060)  ",,
Yamato 74023,Y-74023,Official,,1974,Antarctica,L6,6.3 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74024,Y-74024,Official,,1974,Antarctica,L3.7,50 g,,J2(1) NIPR,"(-71.824440, 36.255560)  ",,
Yamato 74025,Y-74025,Official,,1974,Antarctica,Winonaite,14 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74026,Y-74026,Official,,1974,Antarctica,H6,5.2 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74027,Y-74027,Official,,1974,Antarctica,L6,35.7 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74028,Y-74028,Official,,1974,Antarctica,L6,90.2 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74029,Y-74029,Official,,1974,Antarctica,H4,4.3 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74030,Y-74030,Official,,1974,Antarctica,L6,7.8 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74031,Y-74031,Official,,1974,Antarctica,Diogenite,6.1 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74032,Y-74032,Official,,1974,Antarctica,H4,14.1 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74033,Y-74033,Official,,1974,Antarctica,L3,2.9 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74034,Y-74034,Official,,1974,Antarctica,H4,27.6 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74035,Y-74035,Official,,1974,Antarctica,L6,115.7 g,,J2(1) NIPR,"(-71.801670, 36.143060)  ",,
Yamato 74036,Y-74036,Official,,1974,Antarctica,L6,201 g,,J2(1) NIPR,"(-71.815000, 36.193060)  ",,
Yamato 74037,Y-74037,Official,,1974,Antarctica,Diogenite,592 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74038,Y-74038,Official,,1974,Antarctica,H5,209 g,,J2(1) NIPR,"(-71.825000, 36.240280)  ",,
Yamato 74039,Y-74039,Official,,1974,Antarctica,L6,47.6 g,,J2(1) NIPR,"(-71.827500, 36.244440)  ",,
Yamato 74040,Y-74040,Official,,1974,Antarctica,L6,35.2 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74041,Y-74041,Official,,1974,Antarctica,H5,1.79 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74042,Y-74042,Official,,1974,Antarctica,H4,3.85 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74043,Y-74043,Official,,1974,Antarctica,H4,5.2 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74044,Y-74044,Official,,1974,Antarctica,"Pallasite, PMG",51.8 g,,J2(1) NIPR,"(-71.793330, 36.187500)  ",,
Yamato 74045,Y-74045,Official,,1974,Antarctica,L6,39.8 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74046,Y-74046,Official,,1974,Antarctica,L6,2.22 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74047,Y-74047,Official,,1974,Antarctica,L4,2.1 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74048,Y-74048,Official,,1974,Antarctica,LL6,67.1 g,,J2(1) NIPR,"(-71.804170, 36.291670)  ",,
Yamato 74049,Y-74049,Official,,1974,Antarctica,H5,13.1 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74050,Y-74050,Official,,1974,Antarctica,H4,18.9 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74051,Y-74051,Official,,1974,Antarctica,H5,20.9 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74052,Y-74052,Official,,1974,Antarctica,H5,58.2 g,107,J26 NIPR,,,
Yamato 74053,Y-74053,Official,,1974,Antarctica,H5,88.5 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74054,Y-74054,Official,,1974,Antarctica,H4,134.9 g,,J2(1) NIPR,"(-71.804170, 36.291670)  ",,
Yamato 74055,Y-74055,Official,,1974,Antarctica,H4,13 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74056,Y-74056,Official,,1974,Antarctica,H4,19.1 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74057,Y-74057,Official,,1974,Antarctica,H5,16.3 g,110,J28 NIPR,,,
Yamato 74058,Y-74058,Official,,1974,Antarctica,H4,19.7 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74059,Y-74059,Official,,1974,Antarctica,H5,16.4 g,110,J28 NIPR,,,
Yamato 74060,Y-74060,Official,,1974,Antarctica,H5,17.1 g,107,J26 NIPR,,,
Yamato 74061,Y-74061,Official,,1974,Antarctica,H5,9.3 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74062,Y-74062,Official,,1974,Antarctica,H4,10.5 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74063,Y-74063,Official,,1974,Antarctica,Acapulcoite,35.4 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74064,Y-74064,Official,,1974,Antarctica,H5,2 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74065,Y-74065,Official,,1974,Antarctica,L6,12.1 g,,J2(1) NIPR,"(-71.799720, 36.290280)  ",,
Yamato 74066,Y-74066,Official,,1974,Antarctica,L6,12.4 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74067,Y-74067,Official,,1974,Antarctica,H6,4 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74068,Y-74068,Official,,1974,Antarctica,H5,5.4 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74069,Y-74069,Official,,1974,Antarctica,H6,18.6 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74070,Y-74070,Official,,1974,Antarctica,H5,58.7 g,,J2(1) NIPR,"(-71.811670, 36.412500)  ",,
Yamato 74071,Y-74071,Official,,1974,Antarctica,H4,17.6 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74072,Y-74072,Official,,1974,Antarctica,H5,29 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74073,Y-74073,Official,,1974,Antarctica,H5,29.9 g,,J2(1) NIPR,"(-71.815830, 36.425000)  ",,
Yamato 74074,Y-74074,Official,,1974,Antarctica,H5,54.2 g,,J2(1) NIPR,"(-71.816940, 36.422220)  ",,
Yamato 74075,Y-74075,Official,,1974,Antarctica,H6,5.1 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74076,Y-74076,Official,,1974,Antarctica,L6,20.4 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74077,Y-74077,Official,,1974,Antarctica,L6,5.58 kg,,J2(1) NIPR,"(-71.835560, 36.358330)  ",,
Yamato 74078,Y-74078,Official,,1974,Antarctica,H4,15.9 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74079,Y-74079,Official,,1974,Antarctica,H5,621 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74080,Y-74080,Official,,1974,Antarctica,L6,537 g,,J2(1) NIPR,"(-71.819440, 36.198610)  ",,
Yamato 74081,Y-74081,Official,,1974,Antarctica,H4,102.5 g,,J2(1) NIPR,"(-71.805280, 36.175000)  ",,
Yamato 74082,Y-74082,Official,,1974,Antarctica,H4,179.8 g,,J2(1) NIPR,"(-71.804720, 36.180560)  ",,
Yamato 74083,Y-74083,Official,,1974,Antarctica,H4,3.31 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74084,Y-74084,Official,,1974,Antarctica,L6,2.26 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74085,Y-74085,Official,,1974,Antarctica,H4,30.5 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74086,Y-74086,Official,,1974,Antarctica,H5,0.97 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74087,Y-74087,Official,,1974,Antarctica,L6,0.78 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74088,Y-74088,Official,,1974,Antarctica,H4,14.3 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74089,Y-74089,Official,,1974,Antarctica,H4,43.4 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74090,Y-74090,Official,,1974,Antarctica,L6,1.01 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74091,Y-74091,Official,,1974,Antarctica,L6,2.3 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74092,Y-74092,Official,,1974,Antarctica,H6,3.23 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74093,Y-74093,Official,,1974,Antarctica,L6,6.6 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74094,Y-74094,Official,,1974,Antarctica,H6,867 g,,J2(1) NIPR,"(-71.798060, 36.248610)  ",,
Yamato 74095,Y-74095,Official,,1974,Antarctica,L5,65.9 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74096,Y-74096,Official,,1974,Antarctica,Diogenite,16.2 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74097,Y-74097,Official,,1974,Antarctica,Diogenite,2.19 kg,, NIPR,"(-71.825000, 36.325000)  ",,
Yamato 74098,Y-74098,Official,,1974,Antarctica,H5,9.1 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74099,Y-74099,Official,,1974,Antarctica,H5,27.4 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74100,Y-74100,Official,,1974,Antarctica,L6,15.5 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74101,Y-74101,Official,,1974,Antarctica,H5,9.1 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74102,Y-74102,Official,,1974,Antarctica,H5,2.99 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74103,Y-74103,Official,,1974,Antarctica,H6,21.6 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74104,Y-74104,Official,,1974,Antarctica,H6,21.8 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74105,Y-74105,Official,,1974,Antarctica,H6,25.7 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74106,Y-74106,Official,,1974,Antarctica,H6,146.6 g,,J2(1) NIPR,"(-71.813330, 36.477780)  ",,
Yamato 74107,Y-74107,Official,,1974,Antarctica,H5,114 g,,J2(1) NIPR,"(-71.816670, 36.463890)  ",,
Yamato 74108,Y-74108,Official,,1974,Antarctica,H5,139.3 g,,J2(1) NIPR,"(-71.817780, 36.458330)  ",,
Yamato 74109,Y-74109,Official,,1974,Antarctica,Diogenite,43.7 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74110,Y-74110,Official,,1974,Antarctica,H5,90.1 g,,J2(1) NIPR,"(-71.787500, 36.300000)  ",,
Yamato 74111,Y-74111,Official,,1974,Antarctica,H5,58 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74112,Y-74112,Official,,1974,Antarctica,H5,45.5 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74113,Y-74113,Official,,1974,Antarctica,H5,28.2 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74114,Y-74114,Official,,1974,Antarctica,L4,42.3 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74115,Y-74115,Official,,1974,Antarctica,H5,1045 g,,J2(1) NIPR,"(-71.808330, 36.137500)  ",,
Yamato 74116,Y-74116,Official,,1974,Antarctica,L5,68.9 g,,J2(1) NIPR,"(-71.813330, 36.163890)  ",,
Yamato 74117,Y-74117,Official,,1974,Antarctica,L6,80.2 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74118,Y-74118,Official,,1974,Antarctica,L6,845 g,,J2(1) NIPR,"(-71.824170, 36.194440)  ",,
Yamato 74119,Y-74119,Official,,1974,Antarctica,L6,4.36 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74120,Y-74120,Official,,1974,Antarctica,L6,90.5 g,,J2(1) NIPR,"(-71.826670, 36.202780)  ",,
Yamato 74121,Y-74121,Official,,1974,Antarctica,H6,8.5 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74122,Y-74122,Official,,1974,Antarctica,H4,54.9 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74123,Y-74123,Official,,1974,Antarctica,Ureilite,69.9 g,,J2(1) NIPR,"(-71.828060, 36.205560)  ",,
Yamato 74124,Y-74124,Official,,1974,Antarctica,H4,62.4 g,,J2(1) NIPR,"(-71.828330, 36.206940)  ",,
Yamato 74125,Y-74125,Official,,1974,Antarctica,Diogenite,107 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74126,Y-74126,Official,,1974,Antarctica,Diogenite,14.5 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74127,Y-74127,Official,,1974,Antarctica,L6,19.2 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74128,Y-74128,Official,,1974,Antarctica,L6,41 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74129,Y-74129,Official,,1974,Antarctica,L6,6.6 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74130,Y-74130,Official,,1974,Antarctica,Ureilite,17.9 g,,J2(1) NIPR,"(-71.808610, 36.258330)  ",,
Yamato 74131,Y-74131,Official,,1974,Antarctica,H5,18.1 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74132,Y-74132,Official,,1974,Antarctica,H5,2.37 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74133,Y-74133,Official,,1974,Antarctica,H4,3.36 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74134,Y-74134,Official,,1974,Antarctica,H4,3.08 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74135,Y-74135,Official,,1974,Antarctica,CO3,7.8 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74136,Y-74136,Official,,1974,Antarctica,Diogenite,725 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74137,Y-74137,Official,,1974,Antarctica,H6,26.3 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74138,Y-74138,Official,,1974,Antarctica,H3,22.9 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74139,Y-74139,Official,,1974,Antarctica,H3,5.1 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74140,Y-74140,Official,,1974,Antarctica,H3,4.29 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74141,Y-74141,Official,,1974,Antarctica,H3,9.6 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74142,Y-74142,Official,,1974,Antarctica,H3.8,29.5 g,,J2(1) NIPR,"(-71.816670, 36.341670)  ",,
Yamato 74143,Y-74143,Official,,1974,Antarctica,H6,4.89 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74144,Y-74144,Official,,1974,Antarctica,L6,141.4 g,,J2(1) NIPR,"(-71.783610, 36.265280)  ",,
Yamato 74145,Y-74145,Official,,1974,Antarctica,H6,0.6 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74146,Y-74146,Official,,1974,Antarctica,H4,8.6 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74147,Y-74147,Official,,1974,Antarctica,H4,5.9 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74148,Y-74148,Official,,1974,Antarctica,H5,1.02 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74149,Y-74149,Official,,1974,Antarctica,H6,0.7 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74150,Y-74150,Official,,1974,Antarctica,Diogenite,33.6 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74151,Y-74151,Official,,1974,Antarctica,Diogenite,49.4 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74152,Y-74152,Official,,1974,Antarctica,H4,3.92 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74153,Y-74153,Official,,1974,Antarctica,L4,6.2 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74154,Y-74154,Official,,1974,Antarctica,Ureilite,2.84 g,,J3(1) NIPR,"(-71.814440, 36.111110)  ",,
Yamato 74155,Y-74155,Official,,1974,Antarctica,H4,3.07 kg,,J2(1) NIPR,"(-71.818330, 36.119440)  ",,
Yamato 74156,Y-74156,Official,,1974,Antarctica,L6,715 g,,J2(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74157,Y-74157,Official,,1974,Antarctica,L6,44.3 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74158,Y-74158,Official,,1974,Antarctica,L6,91.5 g,,J2(1) NIPR,"(-71.817220, 36.127780)  ",,
Yamato 74159,Y-74159,Official,,1974,Antarctica,Eucrite-pmict,98.2 g,,J2(1) NIPR,"(-71.762500, 36.080560)  ",,
Yamato 74160,Y-74160,Official,,1974,Antarctica,LL7,31.4 g,,J2(1) NIPR,"(-71.752780, 36.088890)  ",,
Yamato 74161,Y-74161,Official,,1974,Antarctica,L6,42.1 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74162,Y-74162,Official,,1974,Antarctica,Diogenite,3.86 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74163,Y-74163,Official,,1974,Antarctica,H5,134.2 g,,J2(1) NIPR,"(-71.741670, 35.919440)  ",,
Yamato 74164,Y-74164,Official,,1974,Antarctica,L6,249 g,,J2(1) NIPR,"(-71.737500, 35.891670)  ",,
Yamato 74165,Y-74165,Official,,1974,Antarctica,L4,203 g,,J2(1) NIPR,"(-71.734720, 35.875000)  ",,
Yamato 74166,Y-74166,Official,,1974,Antarctica,H3,1.4 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74167,Y-74167,Official,,1974,Antarctica,H3,2.1 g,,J2(1) NIPR,"(-71.758330, 35.033330)  ",,
Yamato 74168,Y-74168,Official,,1974,Antarctica,E5,1.59 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74169,Y-74169,Official,,1974,Antarctica,H3,0.78 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74170,Y-74170,Official,,1974,Antarctica,H3,0.88 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74171,Y-74171,Official,,1974,Antarctica,LL3,4.65 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74172,Y-74172,Official,,1974,Antarctica,L4,47 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74173,Y-74173,Official,,1974,Antarctica,L5,17.1 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74174,Y-74174,Official,,1974,Antarctica,L6,20.9 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74175,Y-74175,Official,,1974,Antarctica,L6,23.1 g,,J2(1) NIPR,"(-71.734720, 35.450000)  ",,
Yamato 74176,Y-74176,Official,,1974,Antarctica,L6,4.7 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74177,Y-74177,Official,,1974,Antarctica,L6,4.09 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74178,Y-74178,Official,,1974,Antarctica,L6,7.2 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74179,Y-74179,Official,,1974,Antarctica,L6,7.4 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74180,Y-74180,Official,,1974,Antarctica,L6,3.73 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74181,Y-74181,Official,,1974,Antarctica,L6,1.67 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74182,Y-74182,Official,,1974,Antarctica,L6,10.7 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74183,Y-74183,Official,,1974,Antarctica,L6,3 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74184,Y-74184,Official,,1974,Antarctica,L6,2.52 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74185,Y-74185,Official,,1974,Antarctica,L6,0.39 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74186,Y-74186,Official,,1974,Antarctica,H4,5.2 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74187,Y-74187,Official,,1974,Antarctica,H5,6.5 g,,J2(1) NIPR,"(-71.804170, 35.397220)  ",,
Yamato 74188,Y-74188,Official,,1974,Antarctica,H6,6.8 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74189,Y-74189,Official,,1974,Antarctica,H6,1.54 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74190,Y-74190,Official,,1974,Antarctica,L6,3.24 kg,,J2(1) NIPR,"(-71.830560, 35.444440)  ",,
Yamato 74191,Y-74191,Official,,1974,Antarctica,L3.7,1092 g,,J2(1) NIPR,"(-71.833330, 35.519440)  ",,
Yamato 74192,Y-74192,Official,,1974,Antarctica,H5,420 g,,J2(1) NIPR,"(-71.611670, 35.258330)  ",,
Yamato 74193,Y-74193,Official,,1974,Antarctica,H5,1819 g,,J2(1) NIPR,"(-71.643060, 35.594440)  ",,
Yamato 74194,Y-74194,Official,,1974,Antarctica,H5,4.78 g,,J2(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74195,Y-74195,Official,,1974,Antarctica,H5,3.55 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74196,Y-74196,Official,,1974,Antarctica,H5,2.79 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74197,Y-74197,Official,,1974,Antarctica,H5,5.3 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74198,Y-74198,Official,,1974,Antarctica,H6,5.7 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74199,Y-74199,Official,,1974,Antarctica,H5,3.28 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74200,Y-74200,Official,,1974,Antarctica,H5,5.1 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74201,Y-74201,Official,,1974,Antarctica,H5,5 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74202,Y-74202,Official,,1974,Antarctica,H5-6,8.1 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74203,Y-74203,Official,,1974,Antarctica,H5,11.2 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74204,Y-74204,Official,,1974,Antarctica,H5,5 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74205,Y-74205,Official,,1974,Antarctica,H5,3.4 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 74206,Y-74206,Official,,1974,Antarctica,H5,6.4 g,, NIPR,"(-71.500000, 35.666670)  ",,
