Name,Abbrev,Status,Fall,Year,Place,Type,Mass,MetBull,Antarctic,"(Lat,Long)",,
D'Orbigny **,,Official,,1979,"Buenos Aires, Argentina",Angrite,16.55 kg,85,,"(-37.666670, -61.650000)  ",,
Escalón **,,Official,,1979,"Chihuahua, Mexico",H4,54.3 g,77,,"(27.000000, -104.000000)  ",,
Forrest 007,,Official,,1979,"Western Australia, Australia",H4,910 g,68,,"(-30.785000, 128.016670)  ",,
Forrest 008,,Official,,1979,"Western Australia, Australia",L6,122.6 g,68,,"(-30.750000, 127.991670)  ",,
Forrest 009,,Official,,1979,"Western Australia, Australia",L6,1000 g,68,,"(-30.150000, 128.083330)  ",,
Gove **,,Relict*,,1979,"Northern Territory, Australia",Relict iron,,99,,"(-12.263330, 136.838330)  ",,
Grass Flat **,,Official,,1979,"California, USA","Iron, IAB-MG",2.12 kg,112,,"(39.678580, -120.949000)  ",,
Jartai,,Official,Y,1979,"Nei Mongol, China",L6,20.5 kg,,,"(39.700000, 105.800000)  ",,
La Escondida **,,Official,,1979,"Zacatecas, Mexico",H5,8.2 g,57,,"(24.341670, -102.075000)  ",,
Littlerock **,,Official,,1979,"California, USA",H6,19.05 kg,58,,"(34.516670, -117.983330)  ",,
Namib Desert **,,Official,,1979,"Swakopmund, Namibia",H4,1000 g,59,,"(-24.750000, 15.366670)  ",,
Plainview (d),,Official,,1979,"Texas, USA",L6,700 g,,,"(34.187500, -101.704170)  ",,
Quarat al Hanish **,,Official,,1979,"Al Wadi al Jadid, Egypt","Iron, IAB-sHL",593 g,57,,"(25.150000, 25.583330)  ",,
Roosevelt County 006,RC 006,Official,,1979,"New Mexico, USA",L6,9.7 g,63,,"(34.083330, -103.500000)  ",,
Roosevelt County 007,RC 007,Official,,1979,"New Mexico, USA",H5,5.2 g,63,,"(34.083330, -103.500000)  ",,
Roosevelt County 008,RC 008,Official,,1979,"New Mexico, USA",H5,25.3 g,63,,"(34.083330, -103.500000)  ",,
Roosevelt County 009,RC 009,Official,,1979,"New Mexico, USA",H5,2.1 g,63,,"(34.083330, -103.500000)  ",,
Roosevelt County 010,RC 010,Official,,1979,"New Mexico, USA",L4,23.6 g,63,,"(33.083330, -103.500000)  ",,
Roosevelt County 101,RC 101,Official,,1979,"New Mexico, USA",H5,12.6 g,84,,"(34.050000, -103.583330)  ",,
Saginaw **,,Official,,1979,"Texas, USA",Iron,44.5 kg,62,,"(32.865830, -97.323060)  ",,
Summerfield **,,Official,,1979,"Texas, USA",L5,6.2 kg,60,,"(34.766670, -102.416670)  ",,
Suwanee Spring **,,Official,,1979,"New Mexico, USA",L5,1200 g,58,,"(34.950000, -107.166670)  ",,
Wild Horse,,Official,,1979,"Colorado, USA",H5,1360 g,88,,"(39.416670, -103.200000)  ",,
Willcox Playa **,,Official,,1979,"Arizona, USA",H4,61.5 g,81,,"(32.125000, -109.833330)  ",,
Yamato 790001,Y-790001,Official,,1979,Antarctica,L6,3.92 g,, NIPR,"(-72.000000, 35.500000)  ",,
Yamato 790002,Y-790002,Official,,1979,Antarctica,H4,0.48 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790003,Y-790003,Official,,1979,Antarctica,CR2,4.29 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790004,Y-790004,Official,,1979,Antarctica,L6,4.67 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790005,Y-790005,Official,,1979,Antarctica,L6,49.5 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790006 **,Y-790006,Official,,1979,Antarctica,Eucrite-pmict,29.4 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790007 **,Y-790007,Official,,1979,Antarctica,Eucrite-pmict,80.4 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790008,Y-790008,Official,,1979,Antarctica,L6,11.4 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790009,Y-790009,Official,,1979,Antarctica,LL6,12.5 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790010,Y-790010,Official,,1979,Antarctica,H4,50.6 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790011,Y-790011,Official,,1979,Antarctica,H6,8.2 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790012,Y-790012,Provisional,,1979,Antarctica,Stone-uncl,3.86 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790013,Y-790013,Provisional,,1979,Antarctica,Stone-uncl,8.9 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790014,Y-790014,Official,,1979,Antarctica,H6,2.88 g,113,J29 NIPR,,,
Yamato 790015,Y-790015,Official,,1979,Antarctica,H6,2.63 g,113,J29 NIPR,,,
Yamato 790016,Y-790016,Official,,1979,Antarctica,H6,2.94 g,113,J29 NIPR,,,
Yamato 790017,Y-790017,Provisional,,1979,Antarctica,Stone-uncl,3.69 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790018,Y-790018,Official,,1979,Antarctica,H6,1.62 g,113,J29 NIPR,,,
Yamato 790019,Y-790019,Official,,1979,Antarctica,H4,9.9 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790020 **,Y-790020,Official,,1979,Antarctica,Eucrite-pmict,86.3 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790021,Y-790021,Official,,1979,Antarctica,H6,3.58 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790022,Y-790022,Official,,1979,Antarctica,Diogenite,1.66 g,113,J29 NIPR,,,
Yamato 790023,Y-790023,Official,,1979,Antarctica,H5,1.08 g,113,J29 NIPR,,,
Yamato 790024,Y-790024,Official,,1979,Antarctica,H4,3.99 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
