Name,Abbrev,Status,Fall,Year,Place,Type,Mass,MetBull,Antarctic,"(Lat,Long)",Notes,,,
El Ali **,,Official,,2020,"Hiiraan, Somalia","Iron, IAB complex",15.2 t,110,,"(4.288020, 44.898220)  ",,,"(4.288020, 44.898220)  ","(4.288020, 44.898220)  "
El Atchane 018 **,,Official,,2020,"Ouargla, Algeria",CV3,3.64 kg,110,,"(30.116610, 4.425420)  ",,,"(30.116610, 4.425420)  ","(30.116610, 4.425420)  "
El Atchane 019 **,,Official,,2020,"Ouargla, Algeria",CM2,50 g,110,,"(29.720580, 4.425280)  ",,,"(29.720580, 4.425280)  ","(29.720580, 4.425280)  "
El Blida 006 **,,Official,,2020,Morocco,LL7,97 g,110,,"(29.859160, -5.977370)  ",,,"(29.859160, -5.977370)  ","(29.859160, -5.977370)  "
El Médano 459,EM 459,Official,,2020,"Antofagasta, Chile",H5,389 g,109,,"(-24.676200, -70.296300)  ",,,"(-24.676200, -70.296300)  ","(-24.676200, -70.296300)  "
El Médano 460,EM 460,Official,,2020,"Antofagasta, Chile",H5,299 g,109,,"(-24.684670, -70.305670)  ",,,"(-24.684670, -70.305670)  ","(-24.684670, -70.305670)  "
El Médano 461,EM 461,Official,,2020,"Antofagasta, Chile",L6,40 g,109,,"(-24.677230, -70.308470)  ",,,"(-24.677230, -70.308470)  ","(-24.677230, -70.308470)  "
El Médano 470,EM 470,Official,,2020,"Antofagasta, Chile",H5§,2.15 kg,110,,"(-24.699860, -70.360420)  ",,,"(-24.699860, -70.360420)  ","(-24.699860, -70.360420)  "
El Médano 495,EM 495,Official,,2020,"Antofagasta, Chile",L6,18 g,110,,"(-24.852780, -70.525560)  ",,,"(-24.852780, -70.525560)  ","(-24.852780, -70.525560)  "
El Médano 521 **,EM 521,Official,,2020,"Antofagasta, Chile",CO3,710 g,112,,"(-24.802610, -70.072720)  ",,,"(-24.802610, -70.072720)  ","(-24.802610, -70.072720)  "
Erg Atouila 001 **,EA 001,Official,,2020,"Gao, Mali",Achondrite-ung,793 g,110,,"(22.489940, -4.551740)  ",,,"(22.489940, -4.551740)  ","(22.489940, -4.551740)  "
Erg Atouila 002 **,EA 002,Official,,2020,"Gao, Mali",Diogenite,5 kg,111,,"(22.243640, -5.994170)  ",,,"(22.243640, -5.994170)  ","(22.243640, -5.994170)  "
Erg Chech 002 **,EC 002,Official,,2020,"Adrar, Algeria",Achondrite-ung,31.78 kg,109,,"(26.032000, -1.611000)  ",,,"(26.032000, -1.611000)  ","(26.032000, -1.611000)  "
Erg Chech 007 **,EC 007,Official,,2020,"Adrar, Algeria","Pallasite, PMG-an",8.33 kg,111,,"(26.507090, -2.735400)  ",,,"(26.507090, -2.735400)  ","(26.507090, -2.735400)  "
Errachidia 003 **,,Official,,2020,"Centre-South, Morocco",Winonaite,247 g,109,,"(32.037500, -4.062220)  ",,,"(32.037500, -4.062220)  ","(32.037500, -4.062220)  "
Errachidia 004 **,,Official,,2020,"Errachidia, Morocco",Winonaite-an,2.64 kg,113,,"(32.040300, -4.068200)  ",,,"(32.040300, -4.068200)  ","(32.040300, -4.068200)  "
Errachidia 005 **,,Official,,2020,Morocco,L3,1600 g,110,,"(31.786070, -4.719570)  ",,,"(31.786070, -4.719570)  ","(31.786070, -4.719570)  "
Foum Agoutir 002,,Official,,2020,Morocco,L6,157 g,110,,"(28.053060, -12.051670)  ",,,"(28.053060, -12.051670)  ","(28.053060, -12.051670)  "
Foum Zguid 002,FZ 002,Official,,2020,Morocco,H5,65 g,110,,"(30.051940, -6.922220)  ",,,"(30.051940, -6.922220)  ","(30.051940, -6.922220)  "
Gadamis 002 **,,Official,,2020,"Nalut, Libya",Lunar (anorth),712 g,110,,"(30.284214, 11.005211)  ",,,"(30.284214, 11.005211)  ","(30.284214, 11.005211)  "
