name,reclass,mass,fall,year,latitude,longitude,coordinates,,decade,address,ccode,country
errachidia 004 **,winonaite-an,2.64 kg,,2020,32.0403,-4.0682,"32.040300, -4.068200",,2010,"errachidia, morocco",MA,Morocco
errachidia 005 **,l3,1600 g,,2020,31.78607,-4.71957,"31.786070, -4.719570",,2010,morocco,MA,Morocco
foum agoutir 002,l6,157 g,,2020,28.05306,-12.05167,"28.053060, -12.051670",,2010,morocco,MA,Morocco
foum zguid 002,h5,65 g,,2020,30.05194,-6.92222,"30.051940, -6.922220",,2010,morocco,MA,Morocco
gadamis 002 **,lunar (anorth),712 g,,2020,30.284214,11.005211,"30.284214, 11.005211",,2010,"nalut, libya",LY,Libya
gatuto **,l6,25 kg,,2020,-0.57,37.29,"-0.570000, 37.290000",,2010,"central, kenya",KE,Kenya
ghadduwah 001 **,lunar (anorth),265 g,,2020,26.80306,13.53528,"26.803060, 13.535280",,2010,"awbari, libya",LY,Libya
ghardaïa 001 **,lunar (feldsp. breccia),760 g,,2020,32.72864,4.47997,"32.728640, 4.479970",,2010,"ghardaia, algeria",DZ,Algeria
ghardaïa 002 **,lunar (feldsp. breccia),90 g,,2020,32.71197,4.47997,"32.711970, 4.479970",,2010,"ghardaia, algeria",DZ,Algeria
gourara 003 **,eucrite-mmict,3.27 kg,,2020,29.81317,2.94433,"29.813170, 2.944330",,2010,"ghardaia, algeria",DZ,Algeria
guelb dahmani 001 **,l5,728 g,,2020,26.254,-4.07,"26.254000, -4.070000",,2010,"adrar, algeria",ML,Mali
hassi el biod 001 **,diogenite-an,763 g,,2020,28.77114,5.50278,"28.771140, 5.502780",,2010,"ouargla, algeria",DZ,Algeria
hassi messaoud 001 **,martian (nakhlite),75 g,,2020,31.85183,6.9765,"31.851830, 6.976500",,2010,"ouargla, algeria",DZ,Algeria
hassi touil 001 **,lunar (feldsp. breccia),221 g,,2020,27.29417,7.18383,"27.294170, 7.183830",,2010,"illizi, algeria",DZ,Algeria
hongshijing 003 **,"iron, iab complex",267 g,,2020,40.38333,92.35,"40.383330, 92.350000",,2010,"xinjiang, china",CN,China
iran 025 **,l3,7.51 kg,,2020,0,0,,,2010,iran,N/A,Ocean/Unknown
jahrom 001,l6,1900 g,,2020,28.64472,53.3775,"28.644720, 53.377500",,2010,"fars, iran",IR,"Iran, Islamic Republic of"
jandaq 001,h5§,3.53 kg,,2020,34.14212,54.92983,"34.142120, 54.929830",,2010,"esfahan, iran",IR,"Iran, Islamic Republic of"
jandaq 002 **,ll6§,2.12 kg,,2020,34.0312,55.33962,"34.031200, 55.339620",,2010,"esfahan, iran",IR,"Iran, Islamic Republic of"
jandaq 003,l6,643 g,,2020,34.09917,54.20472,"34.099170, 54.204720",,2010,"esfahan, iran",IR,"Iran, Islamic Republic of"
jazmourian 001,h6,585 g,,2020,27.0429,59.99409,"27.042900, 59.994090",,2010,"sistan va baluchestan, iran",IR,"Iran, Islamic Republic of"
jdiriya 004 **,r3,142 g,,2020,27.2909,-10.36731,"27.290900, -10.367310",,2010,"saguia el hamra, western sahara",MA,Morocco
kereb es sefiat 001 **,ll3,706 g,,2020,27.09961,-7.40119,"27.099610, -7.401190",,2010,"tindouf, algeria",DZ,Algeria
